AirQualityStation,Countrycode,Altitude,AreaType,StationType,PopulationDensity,no2_average
STA.CZ_KPRB,CZ,904.0,rural-regional,background,91.1,5.264775718147088
STA.CZ_JKOS,CZ,535.0,rural-regional,background,76.3,3.9368291926290984
STA.CZ_JJIH,CZ,502.0,urban,background,76.3,12.396399963616322
STA.CZ_HPLO,CZ,747.0,rural-regional,background,117.7,4.70672653881759
STA.CZ_HHKB,CZ,232.0,urban,traffic,117.7,18.771026861791594
STA.CZ_EPAO,CZ,217.0,suburban,background,116.6,14.211089013558428
STA.CZ_EMTP,CZ,350.0,urban,background,116.6,15.683823590643065
STA.CZ_CTAB,CZ,400.0,urban,traffic,66.7,17.23362677470409
STA.CZ_CPRA,CZ,583.0,suburban,background,66.7,10.311458831520289
STA.CZ_CCHU,CZ,1118.0,rural-regional,background,66.7,2.5150081380314706
STA.CZ_CCBD,CZ,383.0,urban,background,66.7,13.475658156383574
STA.CZ_BZNO,CZ,225.0,suburban,background,168.6,13.00959137469854
STA.CZ_BMIS,CZ,245.0,rural-regional,background,168.6,7.16644489068152
STA.CZ_BBNY,CZ,241.0,suburban,background,168.6,14.002627401347207
STA.CZ_BBNV,CZ,235.0,urban,traffic,168.6,37.81856523820379
STA.CZ_MJES,CZ,625.0,rural-nearcity,background,121.4,5.2840554658035925
STA.CZ_MLOS,CZ,258.0,rural-nearcity,background,121.4,12.054611538313267
STA.CZ_MOLJ,CZ,224.0,urban,background,121.4,19.86566903533995
STA.CZ_PKUJ,CZ,385.0,rural-nearcity,background,77.4,9.117659948108967
STA.CZ_UULK,CZ,367.0,suburban,background,156.8,11.503880288597093
STA.CZ_UULD,CZ,230.0,urban,traffic,156.8,31.08982603755816
STA.CZ_UTUS,CZ,322.0,rural-nearcity,background,156.8,11.264461630302456
STA.CZ_USNZ,CZ,590.0,rural-regional,background,156.8,8.396595171701023
STA.CZ_UMOM,CZ,221.0,urban,background,156.8,19.68771480839282
STA.CZ_ULOM,CZ,265.0,rural-nearcity,background,156.8,11.034577276134607
STA.CZ_UDOK,CZ,158.0,rural-nearcity,background,156.8,12.576201342300207
STA.CZ_UDCM,CZ,131.0,urban,background,156.8,18.21149223611052
STA.DE_DEBE066,DE,35.0,urban,background,4289.8,19.492095657780386
STA.CZ_TCER,CZ,749.0,rural-regional,background,226.7,5.799738694015236
STA.CZ_SPBR,CZ,512.0,urban,background,127.0,14.47769748595224
STA.CZ_SMBO,CZ,224.0,urban,background,127.0,16.552439128117097
STA.CZ_SKLS,CZ,219.0,urban,background,127.0,14.638292559877913
STA.CZ_SBER,CZ,216.0,urban,traffic,127.0,25.394453605153643
STA.CZ_PPLV,CZ,348.0,suburban,background,77.4,12.180144881516853
STA.CZ_PPLL,CZ,360.0,urban,background,77.4,15.330357220358545
STA.CZ_PPLE,CZ,306.0,urban,traffic,77.4,18.482614784056988
STA.CZ_PPLA,CZ,340.0,urban,traffic,77.4,19.34551893805468
STA.CZ_SROR,CZ,198.0,rural-nearcity,background,127.0,8.01962188631779
STA.DE_DEBE067,DE,35.0,urban,traffic,4289.8,43.4133646425146
STA.DE_DEBE068,DE,35.0,urban,background,4289.8,24.400685809177478
STA.DE_DEBE069,DE,50.0,urban,traffic,4289.8,40.71225902527951
STA.DE_DEBY079,DE,469.0,urban,background,126.7,9.685393135568654
STA.DE_DEBY075,DE,400.0,urban,background,599.0,24.140492595411953
STA.DE_DEBY072,DE,755.0,rural-regional,background,84.1,5.750018840148004
STA.DE_DEBY068,DE,231.0,urban,background,1535.3,21.268322354175336
STA.DE_DEBY067,DE,380.0,suburban,background,101.5,19.712965982709104
STA.DE_DEBY063,DE,337.0,urban,traffic,1920.9,36.97949361312608
STA.DE_DEBY058,DE,300.0,urban,background,2793.4,27.088709548678185
STA.DE_DEBY053,DE,307.0,urban,traffic,2793.4,34.56951456617987
STA.DE_DEBY052,DE,470.0,urban,background,338.6,27.25827771702184
STA.DE_DEBY049,DE,359.0,rural-regional,background,114.9,9.637934266826457
STA.DE_DEBY039,DE,521.0,urban,background,4721.9,27.35299503760293
STA.DE_DEBY037,DE,521.0,urban,traffic,4721.9,47.549879142836225
STA.DE_DEBY035,DE,411.0,urban,traffic,286.6,21.685377807055726
STA.DE_DEBY033,DE,390.0,urban,traffic,1087.9,24.49973458567125
STA.DE_DEBY032,DE,303.0,urban,background,109.3,20.232780465882627
STA.DE_DEBY031,DE,678.0,suburban,background,1089.2,17.496630886896718
STA.DE_DEBY030,DE,340.0,suburban,background,114.9,18.196878969504002
STA.DE_DEBY088,DE,488.0,suburban,background,122.1,16.560359486081456
STA.DE_DEBY089,DE,513.0,suburban,background,4721.9,19.86750470653789
STA.DE_DEBY099,DE,495.0,suburban,background,2000.0,17.291182753823836
STA.DE_DEBY109,DE,700.0,rural-regional,background,319.6,6.8068126465955725
STA.DE_DEHB005,DE,3.0,urban,background,1399.1,19.481097726889764
STA.DE_DEHB004,DE,20.0,urban,background,1834.4,18.99439539648159
STA.DE_DEHB002,DE,7.0,urban,background,1834.4,21.55181556824529
STA.DE_DEHB001,DE,10.0,urban,background,1834.4,22.866149581027237
STA.DE_DEBY196,DE,732.0,rural-nearcity,background,88.3,10.510294096385683
STA.DE_DEBY189,DE,510.0,suburban,background,4721.9,24.34984108441033
STA.DE_DEBY188,DE,344.0,urban,background,994.8,23.54303797231872
STA.DE_DEBY187,DE,417.0,suburban,background,105.1,16.531860848568698
STA.DE_DEBY028,DE,348.0,urban,traffic,114.9,20.065562616479745
STA.DE_DEBY124,DE,362.0,rural-regional,background,78.9,11.623804600429713
STA.DE_DEBY121,DE,469.0,rural-nearcity,traffic,183.8,30.241920134005717
STA.DE_DEBY120,DE,308.0,urban,traffic,2793.4,46.40782308535936
STA.DE_DEBY119,DE,198.0,urban,traffic,1462.7,33.453890919067
STA.DE_DEBY118,DE,300.0,urban,background,801.9,30.294432093656727
STA.DE_DEBY115,DE,521.0,urban,traffic,4721.9,66.20001048391838
STA.DE_DEBY113,DE,284.0,suburban,background,1466.8,17.668749794411156
STA.DE_DEBY111,DE,337.0,urban,traffic,1109.4,29.801245289620933
STA.DE_DEBY110,DE,485.0,urban,traffic,2000.0,43.05785343215121
STA.DE_DEBY122,DE,1169.0,rural-regional,background,102.0,7.6791277830402995
STA.CZ_BBDN,CZ,225.0,urban,background,168.6,22.443671208290464
STA.DE_DEBY021,DE,374.0,urban,traffic,1047.0,24.360411021384
STA.DE_DEBY013,DE,415.0,rural-regional,background,196.8,13.523031122243134
STA.DE_DEBW059,DE,177.0,suburban,background,101.5,12.470265170401886
STA.DE_DEBW052,DE,403.0,urban,background,369.7,19.646537424962045
STA.DE_DEBW046,DE,534.0,suburban,background,141.5,17.03991836381341
STA.DE_DEBW042,DE,370.0,suburban,background,831.8,27.117360378850414
STA.DE_DEBW039,DE,700.0,suburban,background,206.8,14.358937759732099
STA.DE_DEBW038,DE,404.0,urban,background,483.1,21.20914491724022
STA.DE_DEBW033,DE,278.0,urban,background,1274.6,24.606295903954763
STA.DE_DEBW031,DE,904.0,rural-regional,background,192.2,4.639522854669174
STA.DE_DEBW029,DE,424.0,suburban,background,207.4,21.729959227663365
STA.DE_DEBW027,DE,385.0,urban,background,262.1,24.91685693952586
STA.DE_DEBW024,DE,302.0,suburban,background,793.1,25.14739419031013
STA.DE_DEBW023,DE,275.0,suburban,background,284.9,17.571226961783303
STA.DE_DEBW019,DE,481.0,urban,background,1058.5,26.640587135210858
STA.DE_DEBW015,DE,157.0,urban,background,1255.4,27.827475475209017
STA.DE_DEBW013,DE,235.0,urban,background,3076.6,27.07349958846172
STA.DE_DEBW010,DE,162.0,suburban,background,519.2,16.151586187319804
STA.DE_DEBW073,DE,223.0,suburban,background,192.2,20.18346139422857
STA.DE_DEBW076,DE,148.0,suburban,background,395.1,16.315137022744025
STA.DE_DEBW084,DE,262.0,urban,background,1502.9,19.148480257262143
STA.DE_DEBW099,DE,244.0,urban,traffic,3076.6,46.15624926398266
STA.DE_DEBY012,DE,420.0,suburban,background,196.8,21.291156067962643
STA.DE_DEBY009,DE,231.0,urban,background,1407.0,23.881602931374502
STA.DE_DEBY007,DE,477.0,urban,background,2000.0,25.7995131013982
STA.DE_DEBY006,DE,492.0,urban,traffic,2000.0,28.139105450210966
STA.DE_DEBY005,DE,134.0,suburban,background,1151.3,27.704064293902913
STA.DE_DEBY004,DE,124.0,rural-nearcity,background,181.7,15.788941376596775
STA.DE_DEBY001,DE,400.0,urban,traffic,417.5,31.076201419348426
STA.DE_DEBW156,DE,458.0,urban,traffic,181.0,34.15422247724287
STA.DE_DEBY020,DE,525.0,suburban,background,806.0,16.640046943626693
STA.DE_DEBW152,DE,165.0,urban,traffic,1255.4,51.621908864558904
STA.DE_DEBW136,DE,340.0,urban,traffic,437.3,45.87647744102693
STA.DE_DEBW122,DE,289.0,urban,traffic,1502.9,50.0480350838924
STA.DE_DEBW120,DE,387.0,urban,traffic,632.0,45.35113185144808
STA.DE_DEBW118,DE,239.0,urban,traffic,3076.6,70.80151603133528
STA.DE_DEBW117,DE,299.0,urban,traffic,793.1,50.726053366807115
STA.DE_DEBW116,DE,302.0,urban,traffic,3076.6,64.89290457505301
STA.DE_DEBW112,DE,466.0,suburban,background,632.0,13.838995100167873
STA.DE_DEBW107,DE,325.0,suburban,background,437.3,20.632095301227523
STA.DE_DEBW147,DE,382.0,urban,traffic,262.1,52.51931831063967
STA.DE_DEHB006,DE,5.0,urban,traffic,1834.4,37.6934534563675
STA.CZ_AVYN,CZ,219.0,urban,traffic,2683.7,32.63999067781087
STA.CZ_ARIE,CZ,256.0,urban,background,2683.7,22.268457791693454
STA.03.0401,AT,161.0,rural,background,123.7,10.993226580964762
STA.03.0202,AT,581.0,rural,background,236.3,7.4348958206895315
STA.03.0201,AT,265.0,suburban,background,236.3,13.342923911580836
STA.03.0104,AT,265.0,rural,traffic,74.6,22.074066803009
STA.03.0101,AT,270.0,urban,background,74.6,20.51619862175645
STA.03.0065,AT,260.0,suburban,background,123.7,16.46115564782635
STA.02.SP10,AT,686.0,rural-regional,background,30.6,9.104071366740829
STA.03.0403,AT,260.0,rural-nearcity,background,123.7,12.999701595129553
STA.03.0502,AT,570.0,rural-regional,background,47.8,5.998770507266368
STA.03.0601,AT,220.0,suburban,background,123.7,11.475422149734877
STA.03.2701,AT,155.0,suburban,background,236.3,18.784969533663357
STA.03.2604,AT,330.0,rural,background,74.6,12.22432682366583
STA.03.2501,AT,200.0,suburban,background,47.8,17.578080445367025
STA.03.2302,AT,271.0,urban,traffic,127.8,29.415270411703553
STA.03.2301,AT,270.0,urban,background,127.8,19.748374132776316
STA.03.1904,AT,220.0,rural,background,123.7,8.052078003064999
STA.03.1902,AT,200.0,rural,industrial,123.7,12.3433509259515
STA.03.1901,AT,178.0,suburban,background,123.7,12.25784270677616
STA.03.1703,AT,190.0,suburban,background,127.8,13.221998267635579
STA.03.1701,AT,320.0,rural,background,47.8,9.88405089383253
STA.03.1502,AT,890.0,rural-regional,background,77.7,5.31684950080977
STA.03.1413,AT,210.0,suburban,traffic,236.3,24.71621084185902
STA.03.1406,AT,188.0,suburban,traffic,236.3,23.35246148020079
STA.03.1402,AT,194.0,suburban,traffic,236.3,21.156291545085658
STA.03.1401,AT,215.0,suburban,background,236.3,16.166333977679493
STA.03.1204,AT,216.0,rural,background,74.6,16.17288702783082
STA.03.0902,AT,175.0,suburban,traffic,123.7,23.373501657574963
STA.03.0599,AT,170.0,suburban,traffic,123.7,18.93404544048836
STA-SK0407A,SK,197.0,urban,traffic,324.2,26.686128540050177
STA-SK0269A,SK,143.0,urban,traffic,107.7,34.14337378941572
STA-SK0267A,SK,209.0,urban,traffic,119.4,28.046174112740413
STA-SK0266A,SK,252.0,urban,traffic,92.1,40.63761368961908
STA-SK0265A,SK,372.0,urban,traffic,119.4,18.02194058972505
STA-SK0263A,SK,425.0,urban,background,68.7,10.330436154005108
STA-SK0214A,SK,346.0,urban,traffic,68.7,34.28285367623764
STA-SK0134A,SK,149.0,urban,background,107.7,11.294866507094605
STA-SK0048A,SK,287.0,suburban,background,324.2,12.087728436988435
STA-SK0045A,SK,152.0,urban,traffic,138.5,35.3321171907008
STA-SK0042A,SK,1244.0,rural,background,119.4,3.4104486817835484
STA-SK0041A,SK,694.0,rural,background,92.1,8.844966589922915
STA-SK0037A,SK,160.0,urban,background,92.1,9.54619233793189
STA-SK0025A,SK,289.0,urban,background,68.7,10.26907151748023
STA-SK0008A,SK,475.0,urban,background,102.6,20.00203956548716
STA-TR220341,TR,133.0,urban,background,70.0,17.276213760154373
STA.04.S108,AT,918.0,rural-regional,background,79.4,5.106569370133513
STA-TR170141,TR,9.0,urban,background,55.6,21.956409319227966
STA-TR110241,TR,755.0,urban,background,51.7,28.431354723887683
STA-TR110141,TR,534.0,urban,background,51.7,24.712458420231386
STA-TR100411,TR,24.0,urban,background,85.9,18.755110428362276
STA.04.S125,AT,460.0,suburban,background,99.3,13.23213109713994
STA.04.S156,AT,350.0,suburban,background,103.1,18.8906208032518
STA.04.S173,AT,250.0,suburban,industrial,346.7,16.749436938311266
STA.09.GAUD,AT,179.0,urban,background,4780.6,27.04728751198465
STA.09.FLO,AT,164.0,urban,background,4780.6,25.043661910412606
STA.09.BELG,AT,218.0,urban,background,4780.6,26.878035840023927
STA.09.AKC,AT,199.0,urban,background,4780.6,23.003621389784566
STA.09.A23,AT,162.0,suburban,traffic,4780.6,32.560253786980965
STA.08.2801,AT,940.0,rural,traffic,49.4,25.056301676249102
STA.08.1919,AT,460.0,urban,traffic,444.5,37.834890467994725
STA.08.0807,AT,440.0,suburban,traffic,444.5,28.459827571963046
STA.08.0710,AT,410.0,urban,traffic,444.5,37.767067558370115
STA.08.0709,AT,405.0,urban,traffic,444.5,33.396637974213235
STA.08.0706,AT,410.0,suburban,background,444.5,19.412457105379183
STA.08.0503,AT,1020.0,rural-regional,background,444.5,6.285110257507272
STA.07.2912,AT,681.0,rural,background,24.3,12.335348187414803
STA.07.2910,AT,675.0,urban,traffic,24.3,35.02104720602131
STA.07.2822,AT,543.0,rural,traffic,65.4,32.117961063832524
STA.07.2821,AT,557.0,rural,traffic,65.4,50.20586323128358
STA.09.JAEG,AT,488.0,suburban,background,4780.6,10.546879626109114
STA.09.KE,AT,158.0,suburban,background,4780.6,23.49454150406575
STA.09.KEND,AT,236.0,urban,background,4780.6,21.783514431794135
STA.09.LIES,AT,211.0,suburban,background,4780.6,19.96829335939038
STA.CZ_AREP,CZ,190.0,urban,background,2683.7,28.75728280905831
STA.CZ_APRU,CZ,267.0,urban,traffic,2683.7,29.39009825058058
STA.CZ_ALIB,CZ,301.0,suburban,background,2683.7,16.32342098357867
STA.CZ_ALEG,CZ,219.0,urban,traffic,2683.7,47.64636488202589
STA.CZ_AKOB,CZ,269.0,suburban,background,2683.7,19.283354634053765
STA.CZ_AKAL,CZ,203.0,urban,traffic,2683.7,27.871983034294217
STA.CZ_ACHO,CZ,300.0,urban,background,2683.7,18.25198455441669
STA.CZ_ABRE,CZ,300.0,urban,background,2683.7,22.153589192620498
STA.07.2710,AT,985.0,rural,background,26.9,15.681387745982068
STA.10.ZOE2,AT,899.0,rural-remote,background,70.2,3.647397778828544
STA.10.PIL1,AT,315.0,rural-regional,background,52.3,8.199492856546929
STA.10.ENK1,AT,525.0,rural-regional,background,103.1,11.141902875988086
STA.09.ZA,AT,210.0,suburban,background,4780.6,18.530227627847413
STA.09.TAB,AT,162.0,urban,traffic,4780.6,33.381372803393155
STA.09.STEF,AT,172.0,urban,background,4780.6,22.490617037465572
STA.09.STAD,AT,159.0,urban,background,4780.6,23.83044338569579
STA.09.SCHA,AT,319.0,suburban,background,4780.6,13.488339444499573
STA.09.MBA,AT,194.0,urban,traffic,4780.6,42.47191841319128
STA.10.SON1,AT,3106.0,rural-remote,background,38.5,0.539770733695302
STA.CZ_ASMI,CZ,216.0,urban,traffic,2683.7,39.03885976118611
STA.07.2619,AT,1583.0,rural,background,31.7,7.080185060271759
STA.07.2550,AT,507.0,rural-regional,traffic,65.4,36.986120760138476
STA.05.2000,AT,440.0,urban,traffic,216.9,36.902331348059
STA.05.1200,AT,420.0,urban,background,216.9,20.971450586865405
STA.05.1066,AT,430.0,urban,traffic,216.9,24.485654290802103
STA.05.1000,AT,425.0,urban,traffic,216.9,40.162588235247185
STA.04.S431,AT,262.0,urban,traffic,346.7,43.40908186407099
STA.04.S418,AT,510.0,rural,industrial,99.3,14.459290441546054
STA.04.S416,AT,265.0,urban,background,346.7,29.00681350319884
STA.04.S415,AT,255.0,suburban,traffic,346.7,27.229123382603504
STA.04.S409,AT,305.0,suburban,background,70.2,14.523238464529655
STA.04.S407,AT,420.0,suburban,background,99.3,14.65587542442365
STA.04.S406,AT,316.0,suburban,background,346.7,23.14637640741434
STA.04.S404,AT,274.0,suburban,background,346.7,20.727042602257825
STA.04.S217,AT,255.0,rural-nearcity,traffic,346.7,38.35789886209025
STA.04.S184,AT,260.0,urban,background,346.7,25.796118708441053
STA.05.2100,AT,650.0,rural-nearcity,background,216.9,10.930058570341888
STA.05.2300,AT,445.0,rural-regional,traffic,216.9,45.246670646100604
STA.05.3055,AT,730.0,rural,background,216.9,7.7599086863815545
STA.05.4057,AT,620.0,suburban,background,38.5,20.724583530780706
STA.07.2538,AT,602.0,rural,background,65.4,17.388324579264886
STA.07.2530,AT,508.0,suburban,background,65.4,24.37234717767889
STA.07.2315,AT,719.0,suburban,traffic,31.7,32.399144252857816
STA.07.2227,AT,558.0,suburban,background,149.5,33.080081594036834
STA.07.2223,AT,688.0,suburban,traffic,149.5,40.79744562564896
STA.07.2113,AT,678.0,suburban,background,149.5,17.854159560699447
STA.07.2110,AT,577.0,urban,background,149.5,34.411983543730905
STA.07.2106,AT,570.0,urban,traffic,149.5,29.98123506869955
STA.07.2552,AT,489.0,urban,background,65.4,21.722482317101587
STA.06.198,AT,276.0,suburban,background,80.9,15.310620288472009
STA.06.180,AT,485.0,suburban,background,50.0,16.255972947557016
STA.06.177,AT,649.0,suburban,background,24.3,14.772703953624971
STA.06.145,AT,517.0,suburban,background,50.0,18.765150008772565
STA.06.119,AT,635.0,urban,background,32.9,16.083237523643803
STA.05.6072,AT,775.0,suburban,background,38.5,17.153593026897706
STA.05.5032,AT,1025.0,suburban,background,20.1,14.660737589460235
STA.05.5018,AT,1205.0,rural,traffic,20.1,22.73903348829132
STA.06.194,AT,679.0,suburban,background,50.0,15.0227129799928
STA.DE_DEHB011,DE,5.0,urban,traffic,1399.1,34.07745851529008
STA.DE_DEHB012,DE,8.0,urban,background,1834.4,20.633868893955995
STA.DE_DEHB013,DE,4.0,rural-regional,industrial,1834.4,16.108141934772622
STA.IT0865A,IT,83.0,urban,background,259.1,20.614745848012078
STA.IT0828A,IT,49.0,urban,traffic,823.7,56.535396612647745
STA.IT0825A,IT,43.0,urban,traffic,823.7,50.68833973128599
STA.IT0775A,IT,228.0,suburban,background,459.1,21.056502322946404
STA.IT0771A,IT,201.0,urban,traffic,514.8,43.517625458019154
STA.IT0732A,IT,382.0,urban,background,820.9,22.87016380396432
STA.IT0614A,IT,35.0,urban,background,190.7,12.442705851782033
STA.IT0611A,IT,300.0,urban,background,190.7,6.158772817463671
STA.IT0508A,IT,830.0,urban,background,71.8,20.447673068923365
STA.IT0507A,IT,564.0,urban,background,71.8,28.089936660742442
STA.IT0505A,IT,1770.0,rural-nearcity,background,71.8,3.070249382491512
STA.IT0502A,IT,247.0,urban,traffic,71.8,39.82683661268019
STA.IT0869A,IT,21.0,urban,background,259.1,20.10731707317073
STA.IE.IE0111A,IE,20.0,rural-regional,background,46.3,3.385608864554773
STA.IT0870A,IT,401.0,urban,background,151.1,25.026496565260054
STA.IT0872A,IT,130.0,urban,traffic,151.1,29.43115855121132
STA.IT0991A,IT,445.0,urban,background,151.1,37.63804671968191
STA.IT0988A,IT,371.0,rural,background,38.8,13.333056478405313
STA.IT0983A,IT,581.0,urban,background,38.8,25.491580536523053
STA.IT0980A,IT,576.0,suburban,background,38.8,20.315150099287468
STA.IT0977A,IT,1640.0,rural-remote,background,38.8,5.19331797235023
STA.IT0957A,IT,48.0,suburban,background,823.7,24.636408183265964
STA.IT0956A,IT,53.0,urban,background,823.7,39.06110749185667
STA.IT0953A,IT,50.0,urban,background,823.7,28.38837615365428
STA.IT0952A,IT,61.0,rural,background,823.7,11.247647216993816
STA.IT0936A,IT,357.0,suburban,background,150.1,21.029261924849653
STA.IT0934A,IT,159.0,urban,traffic,133.9,27.550585280609173
STA.IT0908A,IT,1225.0,urban,background,57.4,13.76216983530743
STA.IT0906A,IT,307.0,urban,traffic,57.4,23.642514742342357
STA.IT0898A,IT,46.0,urban,traffic,2634.5,44.472410451258476
STA.IT0889A,IT,223.0,suburban,background,823.7,25.359045226130647
STA.IT0888A,IT,219.0,suburban,industrial,823.7,32.08495115617658
STA.IT0887A,IT,89.0,suburban,traffic,823.7,28.53330133205328
STA.IE.IE0090A,IE,170.0,rural-regional,background,35.9,2.9012072430675726
STA.IE.IE002CM,IE,1.0,suburban,background,104.2,13.479184916306918
STA.IE.IE001CM,IE,20.0,suburban,background,46.3,11.025467342521242
STA.DE_DETH020,DE,195.0,urban,background,799.0,19.346569949203197
STA.DE_DETH018,DE,185.0,urban,background,118.8,18.2141911670362
STA.DE_DETH013,DE,210.0,urban,background,409.0,15.27315202867806
STA.DE_DETH011,DE,185.0,urban,background,159.4,17.221704833186337
STA.DE_DETH009,DE,190.0,urban,background,621.7,17.980980509506157
STA.DE_DETH005,DE,210.0,urban,background,103.9,15.665259818481882
STA.DE_DEST112,DE,56.0,urban,traffic,1242.6,25.09371410458655
STA.DE_DEST108,DE,116.0,urban,traffic,128.3,19.036501575857073
STA.DE_DEST105,DE,35.0,urban,background,47.1,13.001295023675706
STA.DE_DEST104,DE,72.0,rural,background,113.2,10.848208968266269
STA.DE_DEST103,DE,53.0,urban,traffic,1242.6,30.59249130454293
STA.DE_DEST102,DE,118.0,urban,traffic,1785.2,39.80934608378085
STA.DE_DEST098,DE,419.0,rural-regional,background,102.7,7.553704904557215
STA.DE_DEST095,DE,118.0,urban,traffic,136.2,29.214665989121805
STA.DE_DEST092,DE,73.0,urban,traffic,66.4,26.365668233313666
STA.DE_DEST091,DE,61.0,urban,traffic,340.3,17.989146340741055
STA.DE_DETH026,DE,450.0,rural-regional,background,101.4,10.56201020540751
STA.DE_DETH027,DE,840.0,rural-remote,background,130.3,10.44654364717101
STA.DE_DETH036,DE,265.0,urban,background,117.2,17.856698431648365
STA.DE_DETH040,DE,907.0,rural-remote,background,129.0,4.039649437880475
STA.DE_DEUB046,DE,858.0,rural-remote,background,79.6,3.3157634214328136
STA.DE_DEUB030,DE,65.0,rural-regional,background,118.8,4.490552257594515
STA.DE_DEUB029,DE,937.0,rural,background,129.0,4.044233281434108
STA.DE_DEUB005,DE,74.0,rural,background,63.3,6.518819039357855
STA.DE_DEUB004,DE,1205.0,rural-regional,background,192.2,2.1901444852331227
STA.DE_DETH117,DE,196.0,suburban,background,799.0,16.507947602701872
STA.IT0992A,IT,388.0,rural,background,151.1,5.655482616095308
STA.DE_DETH095,DE,215.0,urban,background,105.5,17.58901493260264
STA.DE_DETH091,DE,220.0,urban,traffic,105.5,27.323408298562285
STA.DE_DETH083,DE,220.0,urban,traffic,770.9,24.095604593889732
STA.DE_DETH072,DE,430.0,urban,traffic,339.8,24.47103211814681
STA.DE_DETH061,DE,357.0,rural-remote,background,101.9,8.385460066769374
STA.DE_DETH043,DE,195.0,urban,traffic,799.0,33.67956360407356
STA.DE_DETH042,DE,420.0,rural-remote,background,72.7,7.9061586412606255
STA.DE_DETH041,DE,140.0,urban,background,967.4,17.134461468913045
STA.DE_DETH093,DE,224.0,urban,background,770.9,18.717085523906817
STA.IT1011A,IT,128.0,urban,traffic,107.3,14.171831828396394
STA.IT1076A,IT,141.0,suburban,background,252.1,18.918879543732906
STA.IT1618A,IT,10.0,urban,traffic,212.4,20.805494345048185
STA.IT1617A,IT,20.0,suburban,background,212.4,8.0424153458766
STA.IT1609A,IT,10.0,suburban,industrial,236.6,10.366265826644554
STA.IT1608A,IT,10.0,suburban,industrial,236.6,9.023253786753664
STA.IT1607A,IT,10.0,suburban,traffic,236.6,11.063101910922454
STA.IT1588A,IT,388.0,urban,traffic,820.9,35.72145955071905
STA.IT1552A,IT,55.0,urban,traffic,252.1,51.67929119465808
